run_id,experiment_id,system,variant,M,d,groups,pe_count,dsp_count,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,cycles_per_query_row,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason
spmw_grp_4096_pnr,E6,SPMW grouped,grouped_constseed,4096,2,2,16,16,pnr_ooc,300,ok,,,,,1037,2321,16,0,0,1.279,0.0,0,69.0,588.9,reports/spmw_grp_4096_pnr/run.json;reports/spmw_grp_4096_pnr/util.rpt;reports/spmw_grp_4096_pnr/util_synth.rpt;reports/spmw_grp_4096_pnr/timing.rpt;reports/spmw_grp_4096_pnr/route.rpt;reports/spmw_grp_4096_pnr/util_hier.rpt;reports/spmw_grp_4096_pnr/vivado_pnr.log;reports/spmw_grp_4096_pnr/assemble_pnr.tcl;reports/spmw_grp_4096_pnr/clock.xdc,
spmw_grp_6_cosim_s0,E6,SPMW grouped,grouped_constseed,6,2,2,16,16,cosim,300,ok,True,36,45,7.5,,,,,,,,,55.3,136.6,reports/spmw_grp_6_cosim_s0/run.json;validation/spmw_grp_6_cosim_s0,
spmw_grp_6_cosim_s1,E6,SPMW grouped,grouped_constseed,6,2,2,16,16,cosim,300,ok,True,36,45,7.5,,,,,,,,,55.3,136.6,reports/spmw_grp_6_cosim_s1/run.json;validation/spmw_grp_6_cosim_s1,
spmw_grp_6_cosim_s2,E6,SPMW grouped,grouped_constseed,6,2,2,16,16,cosim,300,ok,True,36,45,7.5,,,,,,,,,55.3,136.6,reports/spmw_grp_6_cosim_s2/run.json;validation/spmw_grp_6_cosim_s2,
spmw_grp_64_cosim_s0,E6,SPMW grouped,grouped_constseed,64,2,2,16,16,cosim,300,ok,True,42,123,1.9219,,,,,,,,,65.7,164.9,reports/spmw_grp_64_cosim_s0/run.json;validation/spmw_grp_64_cosim_s0,
spmw_grp_64_cosim_s1,E6,SPMW grouped,grouped_constseed,64,2,2,16,16,cosim,300,ok,True,42,123,1.9219,,,,,,,,,65.7,164.9,reports/spmw_grp_64_cosim_s1/run.json;validation/spmw_grp_64_cosim_s1,
spmw_grp_64_cosim_s2,E6,SPMW grouped,grouped_constseed,64,2,2,16,16,cosim,300,ok,True,42,123,1.9219,,,,,,,,,65.7,164.9,reports/spmw_grp_64_cosim_s2/run.json;validation/spmw_grp_64_cosim_s2,
spmw_grp_64_pnr,E6,SPMW grouped,grouped_constseed,64,2,2,16,16,pnr_ooc,300,ok,,,,,880,2213,16,0,0,1.49,0.0,0,61.0,447.8,reports/spmw_grp_64_pnr/run.json;reports/spmw_grp_64_pnr/util.rpt;reports/spmw_grp_64_pnr/util_synth.rpt;reports/spmw_grp_64_pnr/timing.rpt;reports/spmw_grp_64_pnr/route.rpt;reports/spmw_grp_64_pnr/util_hier.rpt;reports/spmw_grp_64_pnr/vivado_pnr.log;reports/spmw_grp_64_pnr/assemble_pnr.tcl;reports/spmw_grp_64_pnr/clock.xdc,
spmw_grp_6_pnr,E6,SPMW grouped,grouped_constseed,6,2,2,16,16,pnr_ooc,300,ok,,,,,767,2141,16,0,0,0.95,0.0,0,48.5,422.1,reports/spmw_grp_6_pnr/run.json;reports/spmw_grp_6_pnr/util.rpt;reports/spmw_grp_6_pnr/util_synth.rpt;reports/spmw_grp_6_pnr/timing.rpt;reports/spmw_grp_6_pnr/route.rpt;reports/spmw_grp_6_pnr/util_hier.rpt;reports/spmw_grp_6_pnr/vivado_pnr.log;reports/spmw_grp_6_pnr/assemble_pnr.tcl;reports/spmw_grp_6_pnr/clock.xdc,
spmw_grpzs_4096_cosim_s0,E6,SPMW grouped,grouped_zeroseed,4096,2,2,16,16,cosim,300,ok,True,37,4136,1.0098,,,,,,,,,48.1,142.0,reports/spmw_grpzs_4096_cosim_s0/run.json;validation/spmw_grpzs_4096_cosim_s0,
